id,level,kanji,hiragana,korean,english,reason,fixed_prompt
n3_1293,N3,轢く,ひく,(차로) 치다,"to run somebody over (with vehicle), to knock someone down",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '(차로) 치다' (轢く), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1389,N3,番,ばん,"번, 차례",,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '번, 차례' (番), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1427,N3,格好,かっこう,"모습, 차림, 스타일","shape, form, posture, suitability",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"kid adventurer outfit, wide-brimmed explorer hat, vintage khaki jacket, pocket compass, leather boots, excited smile, cute expedition gear, studio ghibli style"
n3_1622,N3,満ちる,みちる,가득 차다,"to be full, to rise (tide), to mature, to expire",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '가득 차다' (満ちる), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1624,N3,差別,さべつ,차별,"discrimination, distinction, differentiation",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"black cat and white cat drinking milk together, single wooden bowl, cozy backyard garden, equality and harmony, warm sunbeams, no discrimination, peaceful nature, studio ghibli style"
n3_1695,N3,殺す,ころす,죽이다,to kill,부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"iconic visual illustration representing '죽이다' (殺す), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1796,N3,発車,はっしゃ,"발차, 출발",departure of a vehicle,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '발차, 출발' (発車), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0059,N2,ずらり,ずらり,죽 늘어선 모양,,부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"Ghibli style, long wooden shelf lined neatly with row of colorful hand-blown glass jars, antique bakery shop, warm sunbeams filtering through"
n2_0076,N2,機関車,きかんしゃ,기관차,"locomotive, engine",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"vintage steam locomotive, black train engine, old train tracks, historic train station, overgrown ivy, soft golden hour sun, no humans, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0186,N2,交差,こうさ,교차,cross,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '교차' (交差), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0191,N2,しいんと,しいんと,쥐 죽은 듯 조용함,"silent (as the grave), (deathly) quiet",부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"quiet silent room, sunbeams through window, serene atmosphere, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0226,N2,下車,げしゃ,하차,"alighting, getting off",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"stepping off steam train, quaint country station platform, mountain mist village, wooden signpost, morning traveler backpack, fresh adventure morning, studio ghibli style"
n2_0256,N2,順々,じゅんじゅん,"차례차례, 순서대로","in order, in turn",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차례차례, 순서대로' (順々), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0268,N2,回数券,かいすうけん,회수권(정액 승차권),book of tickets,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '회수권(정액 승차권)' (回数券), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0301,N2,生き生き,いきいき,"생기 있게, 활기차게","vividly, lively",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '생기 있게, 활기차게' (生き生き), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0332,N2,一通り,ひととおり,"대충, 한 차례","ordinary, usual, in general, briefly",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"Ghibli style, young scholar flipping quickly through stack of paper documents at sunlit desk, cup of tea steaming, relaxed efficiency"
n2_0347,N2,差し引き,さしひき,"차감, 차액","deduction, subtraction, balance, ebb and flow, rise and fall",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차감, 차액' (差し引き), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0457,N2,どうせ,どうせ,어차피,"anyhow, in any case, at any rate",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '어차피' (どうせ), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0635,N2,目次,もくじ,목차,table of contents,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '목차' (目次), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0667,N2,車輪,しゃりん,차바퀴,(car) wheel,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차바퀴' (車輪), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0710,N2,相違,そうい,"차이, 다름","difference, discrepancy, variation",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차이, 다름' (相違), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0992,N2,冷やす,ひやす,"식히다, 차게 하다","to cool, to refrigerate",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '식히다, 차게 하다' (冷やす), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_1084,N2,力強い,ちからづよい,"힘차다, 든든하다","reassuring, emboldened",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '힘차다, 든든하다' (力強い), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_1536,N2,乗車,じょうしゃ,"승차, 탑승","taking a train, entraining",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '승차, 탑승' (乗車), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_1541,N2,車庫,しゃこ,차고,"garage, car shed",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차고' (車庫), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_1658,N2,手続き,てつづき,"절차, 수속","procedure, (legal) process, formalities",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '절차, 수속' (手続き), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_1708,N2,車掌,しゃしょう,차장(열차 승무원),(train) conductor,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차장(열차 승무원)' (車掌), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_1735,N2,蹴る,ける,차다,to kick,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"Ghibli style, schoolyard dust, kicking vintage leather soccer ball, energetic kids, warm afternoon sun rays, nostalgic childhood play, watercolor"
n2_1765,N2,停車,ていしゃ,정차,stopping (e.g. train),부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"Ghibli style, train stopping at country station, wooden benches, wild flowers on platform, peaceful warm afternoon sun, steam puffing, cozy travel vibe"
n1_0019,N1,落ち着き,おちつき,"차분함, 침착함",calm; composure,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차분함, 침착함' (落ち着き), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_0157,N1,練る,ねる,반죽하다; 계획 등을 다듬다,to knead; to work over; to polish up,부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"chef kneading bread dough on wooden counter, flour dusting air, studio ghibli style, warm color palette, soft volumetric lighting"
n1_0262,N1,時差,じさ,시차,time difference,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '시차' (時差), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_0754,N1,パトカー,パトカー,순찰차; 경찰차,patrol car,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '순찰차; 경찰차' (パトカー), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_0858,N1,チャイム,チャイム,차임벨,chime,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차임벨' (チャイム), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_0874,N1,始発,しはつ,"첫차, 시발",first train,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '첫차, 시발' (始発), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_1146,N1,ガレージ,ガレージ,"차고, 개러지",garage (at house),부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차고, 개러지' (ガレージ), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_1252,N1,ずれ,ずれ,"어긋남, 차이",gap; slippage,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '어긋남, 차이' (ずれ), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_1253,N1,次,し,"차례, 순서",order; sequence; times; next; below,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"ghibli style, running towards a waiting train on a sunny platform, steam engine, vintage luggage, setting off on a journey, bright blue sky, adventure mood"
n1_1344,N1,いっそ,いっそ,차라리,rather; sooner; might as well,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차라리' (いっそ), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_1362,N1,身なり,みなり,옷차림,personal appearance,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '옷차림' (身なり), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_1461,N1,遮る,さえぎる,"가로막다, 차단하다",to interrupt; to intercept; to obstruct,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '가로막다, 차단하다' (遮る), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_1581,N1,差額,さがく,차액,balance; difference; margin,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차액' (差額), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_1705,N1,手筈,てはず,절차; 채비,arrangement; plan; programme,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"Ghibli style, packed leather suitcases, cozy wooden hallway, warm morning light, map spread on table, hiking boots by the door, exciting journey prep, nostalgic vibe"
n1_1958,N1,回送,かいそう,(버스·열차의) 회송,forwarding,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '(버스·열차의) 회송' (回送), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_2015,N1,埋まる,うずまる,"파묻히다, 가득 차다",to be buried; to be surrounded; to overflow; to be filled,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"ghibli style, packed outdoor theater night, glowing stage lights, wooden benches crowd, forest animal spectators"
n1_2070,N1,誤差,ごさ,오차,error,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '오차' (誤差), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_2101,N1,蹴飛ばす,けとばす,걷어차다; 발로 차버리다,to kick away; to kick off; to kick (someone); to refuse; to reject,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '걷어차다; 발로 차버리다' (蹴飛ばす), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_2102,N1,盛装,せいそう,성장; 화려하게 차려입음,be dressed up; wear rich clothes,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"neatly arranged clothing item (성장; 화려하게 차려입음), wardrobe closet setting, studio ghibli style, warm color palette, soft volumetric lighting"
n1_2326,N1,ずらっと,ずらっと,"죽, 줄줄이(늘어선 모양)",in a line; in a row,부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"neat long row of colorful lanterns lined up along festival street, studio ghibli style, warm color palette, soft volumetric lighting"
n1_2600,N1,死,し,"죽음, 사망",death; decease,부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"single pure white lily flower on wooden table by quiet window, studio ghibli style, warm color palette, soft volumetric lighting"
n1_2621,N1,しいんと,しいんと,쥐 죽은 듯이 조용함,silent (as the grave); (deathly) quiet,부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"tranquil bamboo forest in morning mist, quiet nature, studio ghibli style, warm color palette, soft volumetric lighting"
n1_2635,N1,滅茶苦茶,めちゃくちゃ,"엉망진창, 뒤죽박죽",absurd; unreasonable; excessive; messed up; spoiled; wreaked,부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"Ghibli style illustration, wildly messy artist's room with papers, books, and paint pots strewn everywhere in vibrant chaotic fun, cozy creative clutter, warm sunlight"
n1_2739,N1,じっくり,じっくり,"차분히, 곰곰이",deliberately; carefully,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차분히, 곰곰이' (じっくり), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_2761,N1,差異,さい,차이,difference; disparity,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"two different tea cups, rustic wooden table, cozy kitchen background, morning light, subtle differences, warm slice of life illustration, studio ghibli style, warm color palette, soft volumetric lighting"
n1_2769,N1,しまった,しまった,"아차!, 아뿔싸!",Damn it!,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '아차!, 아뿔싸!' (しまった), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_2773,N1,着飾る,きかざる,"치장하다, 화려하게 차려입다",to dress up,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"neatly arranged clothing item (치장하다, 화려하게 차려입다), wardrobe closet setting, studio ghibli style, warm color palette, soft volumetric lighting"
n1_2890,N1,段々,だんだん,"점점, 차츰",gradually; by degrees,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '점점, 차츰' (段々), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_2983,N1,十字路,じゅうじろ,"사거리, 교차로",crossroads,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '사거리, 교차로' (十字路), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_3094,N1,手順,てじゅん,"순서, 절차",process; procedure; protocol,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '순서, 절차' (手順), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_3153,N1,ドライブイン,ドライブイン,드라이브인 (자동차 이용객을 위한 휴게소·식당),drive in,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '드라이브인 (자동차 이용객을 위한 휴게소·식당)' (ドライブイン), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_3272,N1,交わる,まじわる,"교차하다, 사귀다",to cross; to intersect; to associate with; to mingle with; to interest; to join,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '교차하다, 사귀다' (交わる), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_3328,N1,準急,じゅんきゅう,준급행 (열차),local express (train  slower than an express),부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '준급행 (열차)' (準急), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n1_3342,N1,格差,かくさ,격차,qualitative difference; disparity,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"railroad tracks, high-rise skyscrapers, rustic village, contrasting scenery, distant mountains, Ghibli landscape, steam train, spatial layout"
n1_3439,N1,隔たる,へだたる,"멀어지다, 차이가 나다",to be distant,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"two people sitting far apart, long wooden table, cold dining room window light, cup of tea steam, distance silence, relationship distance, studio ghibli style"
7,LEGACY,車,くるま,자동차,,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '자동차' (車), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
9,LEGACY,お茶,おちゃ,차(마시는),,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"steaming hot green tea in ceramic cup, wooden tray, cozy afternoon tea time, soothing warm steam, studio ghibli relaxed lifestyle illustration, gentle color palette"
