id,level,kanji,hiragana,korean,reason,prompt
n5_0470,N5,毎日,まいにち,매일,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '매일' (毎日), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0521,N5,交差点,こうさてん,교차로,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (교차로), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0524,N5,ボールペン,ボールペン,볼펜,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '볼펜' (ボールペン), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0530,N5,漢字,かんじ,한자,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '한자' (漢字), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0555,N5,車,くるま,"자동차, 차",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (자동차, 차), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0567,N5,伯父 / 叔父,おじいさん,"삼촌, 숙부",읽기 정정 (おじいさん → おじ),"middle-aged uncle standing in sunlit school classroom near blackboard, wooden desk, smiling, studio ghibli style, warm color palette, soft volumetric lighting, watercolor background"
n5_0628,N5,まだ,まだ,아직,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '아직' (まだ), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0641,N5,留学生,りゅうがくせい,유학생,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '유학생' (留学生), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_153,N4,写す,うつす,찍다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '찍다' (写す), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_157,N4,裏,うら,뒷면,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '뒷면' (裏), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_181,N4,押し入れ,おしいれ,옷장,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"neatly arranged clothing item (옷장), wardrobe closet setting, studio ghibli style, warm color palette, soft volumetric lighting"
n4_199,N4,表,おもて,표면,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '표면' (表), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_213,N4,科学,かがく,과학,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '과학' (科学), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_254,N4,規則,きそく,규칙,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '규칙' (規則), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_263,N4,着物,きもの,일본 옷,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"neatly arranged clothing item (일본 옷), wardrobe closet setting, studio ghibli style, warm color palette, soft volumetric lighting"
n4_286,N4,経済,けいざい,경제,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '경제' (経済), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_291,N4,消しゴム,けしごむ,지우개,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '지우개' (消しゴム), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_349,N4,さ来週,さらいしゅう,다음주,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '다음주' (さ来週), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_424,N4,済む,すむ,끝나다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '끝나다' (済む), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_460,N4,大分,だいぶ,상당히,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '상당히' (大分), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_499,N4,続ける,つづける,계속하다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '계속하다' (続ける), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_506,N4,テキスト,テキスト,텍스트,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '텍스트' (テキスト), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_535,N4,どんどん,どんどん,점점,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '점점' (どんどん), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_542,N4,亡くなる,なくなる,죽다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (죽다), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n4_555,N4,入学する,にゅうがくする,입학하다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '입학하다' (入学する), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_578,N4,始める,はじめる,시작하다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '시작하다' (始める), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_597,N4,引き出し,ひきだし,서랍,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '서랍' (引き出し), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_606,N4,必要,ひつよう,필요,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '필요' (必要), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_617,N4,復習,ふくしゅう,복습,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '복습' (復習), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_631,N4,別,べつ,차이,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (차이), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n4_643,N4,翻訳,ほんやく,번역,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '번역' (翻訳), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_646,N4,まじめ,まじめ,진심,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '진심' (まじめ), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_681,N4,役に立つ,やくにたつ,도움이 되다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '도움이 되다' (役に立つ), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_701,N4,予習,よしゅう,예습,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '예습' (予習), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_714,N4,レポート,レポート,보고서,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '보고서' (レポート), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0031,N3,違い,ちがい,"차이, 다름",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (차이, 다름), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0044,N3,カー,カー,"카, 차(주로 복합어에 사용)",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (카, 차(주로 복합어에 사용)), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0095,N3,生地,きじ,"원단, 옷감",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"neatly arranged clothing item (원단, 옷감), wardrobe closet setting, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0102,N3,値,ね,"값, 가격",한자/뜻 정정 (ね → 値),"iconic visual illustration representing '값, 가격' (ね), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0127,N3,占める,しめる,차지하다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (차지하다), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0187,N3,カード,カード,카드,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '카드' (カード), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0207,N3,語学,ごがく,어학,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '어학' (語学), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0212,N3,教師,きょうし,교사,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '교사' (教師), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0226,N3,再び,ふたたび,"다시, 재차",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (다시, 재차), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0309,N3,済ませる,すませる,"끝내다, 마치다",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '끝내다, 마치다' (済ませる), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0349,N3,学習,がくしゅう,학습,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '학습' (学習), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0351,N3,暖かい,あたたか,따뜻하다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '따뜻하다' (暖かい), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0510,N3,可能,かのう,가능한,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '가능한' (可能), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0535,N3,バン,バン,"밴, 승합차",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (밴, 승합차), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0540,N3,皮,かわ,"가죽, 껍질",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (가죽, 껍질), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0542,N3,ノー,のー,"노, 아니오(거절)",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '노, 아니오(거절)' (ノー), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0579,N3,詩人,しじん,시인,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '시인' (詩人), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0684,N3,できる,できる,"할 수 있다, 생기다",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '할 수 있다, 생기다' (できる), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0707,N3,うん,うん,"응, 어",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '응, 어' (うん), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0714,N3,差,さ,차이,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (차이), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0717,N3,課,か,"과, 단원",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '과, 단원' (課), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0744,N3,姉妹,しまい,자매,한자/뜻 정정 (しまい → 姉妹),"iconic visual illustration representing '자매' (しまい), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0828,N3,褒める,ほめる,칭찬하다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '칭찬하다' (褒める), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0841,N3,優れる,すぐれる,뛰어나다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '뛰어나다' (優れる), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0853,N3,支出,ししゅつ,지출,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '지출' (支出), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0933,N3,参考,さんこう,참고,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '참고' (参考), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0997,N3,ちゃんと,ちゃんと,"제대로, 확실히",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '제대로, 확실히' (ちゃんと), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1004,N3,よろしく,よろしく,잘 부탁합니다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '잘 부탁합니다' (よろしく), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1037,N3,読み,よみ,"읽기, 읽는 법",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '읽기, 읽는 법' (読み), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1079,N3,とん,とん,톤,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '톤' (とん), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1104,N3,順番,じゅんばん,"순서, 차례",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (순서, 차례), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1106,N3,穏やか,おだやか,"온화하다, 차분하다",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (온화하다, 차분하다), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1122,N3,駐車,ちゅうしゃ,주차,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (주차), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1136,N3,なかなか,なかなか,"꽤, 좀처럼",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '꽤, 좀처럼' (なかなか), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1221,N3,それ,それ,그것,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '그것' (それ), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1236,N3,詩,し,시(詩),프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '시(詩)' (詩), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1246,N3,夕べ,ゆうべ,"어젯밤, 어제 저녁",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '어젯밤, 어제 저녁' (夕べ), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1272,N3,しまう,しまう,"넣다, 치우다, (~해) 버리다",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '넣다, 치우다, (~해) 버리다' (しまう), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1293,N3,轢く,ひく,(차로) 치다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish ((차로) 치다), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1299,N3,与える,あたえる,주다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '주다' (与える), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1305,N3,はあ,はあ,하아 (감탄사),프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '하아 (감탄사)' (はあ), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1316,N3,水準,すいじゅん,수준,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '수준' (水準), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1330,N3,寧ろ,むしろ,"오히려, 차라리",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (오히려, 차라리), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1340,N3,科目,かもく,과목,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '과목' (科目), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1363,N3,飛ばす,とばす,"건너뛰다, 날리다",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '건너뛰다, 날리다' (飛ばす), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1381,N3,ふと,ふと,"문득, 갑자기",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '문득, 갑자기' (ふと), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1389,N3,番,ばん,"번, 차례",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (번, 차례), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1398,N3,考慮,こうりょ,고려,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '고려' (考慮), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1417,N3,単語,たんご,단어,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '단어' (単語), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1497,N3,提出,ていしゅつ,제출,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '제출' (提出), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1524,N3,真面目,まじめ,"성실한, 진지한",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '성실한, 진지한' (真面目), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1537,N3,はい,はい,"네, 예 (대답할 때 쓰는 말)",영문/뜻 정정 (はい / sword → yes),"iconic visual illustration representing '네, 예 (대답할 때 쓰는 말)' (はい), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1590,N3,大部分,だいぶぶん,대부분,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '대부분' (大部分), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1622,N3,満ちる,みちる,가득 차다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (가득 차다), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1633,N3,暗記,あんき,암기,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '암기' (暗記), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1691,N3,すみません,すみません,"죄송합니다, 실례합니다",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '죄송합니다, 실례합니다' (すみません), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1695,N3,殺す,ころす,죽이다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (죽이다), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1756,N3,童,どう,"아이, 동자(어린아이를 뜻하는 말)",한자/뜻 정정 (どう → 童),"iconic visual illustration representing '아이, 동자(어린아이를 뜻하는 말)' (どう), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1759,N3,省く,はぶく,"생략하다, 줄이다",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '생략하다, 줄이다' (省く), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1779,N3,一人一人,ひとりひとり,"한 사람 한 사람, 각자",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '한 사람 한 사람, 각자' (一人一人), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1796,N3,発車,はっしゃ,"발차, 출발",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (발차, 출발), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0034,N2,芯,しん,심 (core),프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '심 (core)' (芯), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0063,N2,女の人,おんなのひと,"여자, 여성",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '여자, 여성' (女の人), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0166,N2,英和,えいわ,영일(영어-일본어),프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '영일(영어-일본어)' (英和), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0186,N2,交差,こうさ,교차,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (교차), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0230,N2,文体,ぶんたい,문체,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '문체' (文体), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0233,N2,和英,わえい,일영(일본어-영어),프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '일영(일본어-영어)' (和英), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0255,N2,振り仮名,ふりがな,후리가나(한자 읽는 법 표기),프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '후리가나(한자 읽는 법 표기)' (振り仮名), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0256,N2,順々,じゅんじゅん,"차례차례, 순서대로",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (차례차례, 순서대로), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0262,N2,学部,がくぶ,학부,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '학부' (学部), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0268,N2,回数券,かいすうけん,회수권(정액 승차권),프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (회수권(정액 승차권)), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0301,N2,生き生き,いきいき,"생기 있게, 활기차게",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (생기 있게, 활기차게), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n2_0347,N2,差し引き,さしひき,"차감, 차액",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (차감, 차액), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
