id,kanji,kana,korean
n1_1395,社交,しゃこう,사교
n1_1400,運搬,うんぱん,운반
n1_1403,教え,おしえ,가르침
n1_1405,流行,はやり,유행
n1_1407,均衡,きんこう,균형
n1_1410,隠居,いんきょ,"은거, 은퇴"
n1_1417,悲観,ひかん,비관
n1_1419,証言,しょうげん,증언
n1_1423,音色,おんいろ,음색
n1_1425,兼用,けんよう,겸용
n1_1430,監視,かんし,감시
n1_1438,根底,こんてい,"근저, 근본"
n1_1443,籤引,くじびき,제비뽑기
n1_1445,受身,うけみ,수동적임; 수동태
n1_1454,布告,ふこく,"포고, 선포"
n1_1465,品質,ひんしつ,품질
n1_1467,他動詞,たどうし,타동사
n1_1470,小売,こうり,소매
n1_1478,利息,りそく,이자
n1_1483,見通し,みとおし,"전망, 예측"
n1_1487,固定,こてい,고정
n1_1495,末期,まっき,말기
n1_1503,初版,しょはん,초판
n1_1505,予言,かねごと,예언
n1_1508,該当,がいとう,해당
n1_1509,デザイン,デザイン,디자인
n1_1513,悩み,なやみ,고민
n1_1519,潜水,せんすい,잠수
n1_1525,補充,ほじゅう,보충
n1_1527,気質,かたぎ,기질
n1_1534,不便,ふびん,가엾음; 불쌍히 여김
n1_1539,排水,はいすい,배수
n1_1541,強制,きょうせい,강제
n1_1544,学歴,がくれき,학력
n1_1546,戦災,せんさい,전쟁 피해; 전화(戦禍)
n1_1547,混血,こんけつ,혼혈
n1_1558,定年,ていねん,정년
n1_1561,運送,うんそう,운송
n1_1562,分裂,ぶんれつ,분열
n1_1567,人格,じんかく,인격
n1_1569,気配,きはい,기색; 낌새; 인기척
n1_1581,差額,さがく,차액
n1_1584,近視,きんし,근시
n1_1585,分配,ぶんぱい,분배
n1_1589,不況,ふきょう,불황
n1_1592,同調,どうちょう,동조
n1_1594,講読,こうどく,강독
n1_1596,お産,おさん,출산
n1_1600,責務,せきむ,책무
n1_1601,余暇,よか,여가
n1_1613,入賞,にゅうしょう,입상
n1_1615,方式,ほうしき,방식
n1_1616,報道,ほうどう,보도
n1_1632,微笑,びしょう,미소
n1_1635,争い,あらそい,다툼; 분쟁
n1_1636,祈り,いのり,기도
n1_1637,氾濫,はんらん,범람; 홍수
n1_1642,退化,たいか,퇴화
n1_1647,ストライキ,ストライキ,파업
n1_1652,抽選,ちゅうせん,추첨
n1_1654,見合い,みあい,맞선
n1_1660,野心,やしん,야심
n1_1665,短縮,たんしゅく,단축
n1_1667,志向,しこう,지향
n1_1669,本能,ほんのう,본능
n1_1671,配慮,はいりょ,배려
n1_1673,適応,てきおう,적응
n1_1674,申出,もうしで,제의; 신청
n1_1676,孤立,こりつ,고립
n1_1678,発育,はついく,발육
n1_1679,釣り,つり,낚시
n1_1681,妊娠,にんしん,임신
n1_1683,海運,かいうん,해운
n1_1684,申し分,もうしぶん,나무랄 데; 흠
n1_1687,動員,どういん,동원
n1_1692,同盟,どうめい,동맹
n1_1693,使い道,つかいみち,용도; 쓰임새
n1_1699,ビジネス,ビジネス,비즈니스; 사업
n1_1705,手筈,てはず,절차; 채비
n1_1706,語句,ごく,어구
n1_1709,演習,えんしゅう,연습; 훈련
n1_1716,支持,しじ,지지
n1_1717,熱量,ねつりょう,열량
n1_1718,真心,まこころ,진심
n1_1724,統合,とうごう,통합
n1_1727,工学,こうがく,공학
n1_1729,業,ごう,"업, 업보"
n1_1730,保養,ほよう,"요양, 휴양"
n1_1733,樹立,じゅりつ,수립
n1_1734,真相,しんそう,진상
n1_1741,中枢,ちゅうすう,중추
n1_1747,沈没,ちんぼつ,침몰
n1_1748,出品,しゅっぴん,출품
n1_1753,勢力,せいりょく,세력
n1_1757,十分,じっぷん,10분
n1_1764,ジャズ,ジャズ,재즈
n1_1765,地獄,じごく,지옥
n1_1767,弁償,べんしょう,"변상, 배상"
n1_1770,爆破,ばくは,폭파
n1_1776,過多,かた,과다
n1_1787,採集,さいしゅう,채집
n1_1791,放射,ほうしゃ,"방사, 방사선"
n1_1793,暗示,あんじ,암시
n1_1795,妨害,ぼうがい,방해
n1_1797,原点,げんてん,원점
n1_1802,主催,しゅさい,주최
n1_1803,優勢,ゆうせい,우세
n1_1804,解剖,かいぼう,해부
n1_1805,驚異,きょうい,경이
n1_1812,収集,しゅうしゅう,수집
n1_1814,侮辱,ぶじょく,모욕
n1_1818,軽減,けいげん,경감
n1_1821,育成,いくせい,육성
n1_1822,納入,のうにゅう,납입; 납품
n1_1828,試み,こころみ,시도
n1_1829,提携,ていけい,제휴
n1_1834,ゆとり,ゆとり,여유
n1_1837,徐行,じょこう,서행
n1_1840,養成,ようせい,양성
n1_1842,他意,たい,다른 의도; 딴 마음
n1_1850,契機,けいき,계기
n1_1851,症,しょう,"증, 증세"
n1_1852,設置,せっち,설치
n1_1853,等級,とうきゅう,등급
n1_1854,錯誤,さくご,착오
n1_1855,記述,きじゅつ,"기술, 서술"
n1_1856,選考,せんこう,"전형, 선고"
n1_1863,国有,こくゆう,국유
n1_1868,正規,せいき,정규
n1_1870,美術,びじゅつ,미술
n1_1871,びり,びり,꼴찌
n1_1874,初耳,はつみみ,처음 듣는 이야기
n1_1875,墜落,ついらく,추락
n1_1879,公認,こうにん,공인
n1_1880,進呈,しんてい,증정
n1_1881,自我,じが,자아
n1_1883,退治,たいじ,퇴치
n1_1886,物好き,ものずき,"유별난 취미, 호기심 많음"
n1_1887,化合,かごう,화합
n1_1888,実情,じつじょう,실정
n1_1889,財政,ざいせい,재정
n1_1895,修士,しゅうし,석사
n1_1898,軍,いくさ,"전쟁, 싸움"
n1_1899,潜入,せんにゅう,잠입
n1_1901,燃焼,ねんしょう,연소
n1_1906,豊作,ほうさく,풍작
n1_1916,見せ物,みせもの,"구경거리, 볼거리"
n1_1919,控除,こうじょ,공제
n1_1923,雇用,こよう,고용
n1_1924,入手,にゅうしゅ,입수
n1_1925,好評,こうひょう,호평
n1_1929,救済,きゅうさい,구제
n1_1935,形成,けいせい,형성
n1_1943,絶版,ぜっぱん,절판
n1_1945,愛想,あいそ,"붙임성, 상냥함"
n1_1952,マッサージ,マッサージ,마사지
n1_1955,演出,えんしゅつ,연출
n1_1956,刺繍,ししゅう,자수
n1_1957,主観,しゅかん,주관
n1_1960,補償,ほしょう,보상
n1_1962,下痢,げり,설사
n1_1969,体験,たいけん,체험
n1_1971,干渉,かんしょう,간섭
n1_1973,年号,ねんごう,연호
n1_1976,平行,へいこう,평행
n1_1984,資格,しかく,자격
n1_1989,ナンセンス,ナンセンス,"넌센스, 터무니없음"
n1_1999,センス,センス,"센스, 감각"
n1_2001,真理,しんり,진리
n1_2002,同居,どうきょ,동거
n1_2005,欲望,よくぼう,욕망
n1_2006,着目,ちゃくもく,주목
n1_2013,加入,かにゅう,가입
n1_2014,後退,こうたい,"후퇴, 후진"
n1_2020,冬眠,とうみん,"동면, 겨울잠"
n1_2021,教訓,きょうくん,교훈
n1_2022,倹約,けんやく,"절약, 검약"
n1_2024,当選,とうせん,당선
n1_2029,不在,ふざい,부재
n1_2032,日付,かづけ,날짜
n1_2042,捕獲,ほかく,포획
n1_2045,下調べ,したしらべ,사전 조사
n1_2047,慣用,かんよう,관용
n1_2052,前例,ぜんれい,전례
n1_2058,点火,てんか,점화
n1_2064,捜査,そうさ,수사
n1_2070,誤差,ごさ,오차
n1_2079,基金,ききん,기금
n1_2081,手配,てはい,"수배; 준비, 채비"
n1_2082,応急,おうきゅう,응급
n1_2086,全滅,ぜんめつ,전멸
n1_2088,期日,きじつ,기일; 정해진 날짜
n1_2091,メッセージ,メッセージ,메시지
n1_2094,聴講,ちょうこう,청강
n1_2097,荒廃,こうはい,황폐
n1_2104,様式,ようしき,양식; 형식
n1_2105,心情,しんじょう,심정
n1_2110,削減,さくげん,삭감
n1_2113,返済,へんさい,상환; 변제
n1_2116,仕舞,しまい,끝; 마지막
n1_2119,協調,きょうちょう,협조; 조화
n1_2120,逃亡,とうぼう,도망; 도주
n1_2121,転校,てんこう,전학
n1_2124,登録,とうろく,등록
n1_2129,着工,ちゃっこう,착공
n1_2131,シナリオ,シナリオ,시나리오
n1_2132,コメント,コメント,코멘트; 댓글
n1_2133,了承,りょうしょう,양해; 승낙
n1_2134,カムバック,カムバック,컴백
n1_2135,修行,しゅうぎょう,수행; 수련
n1_2137,ブーム,ブーム,붐; 유행
n1_2139,味わい,あじわい,맛; 풍미; 정취
n1_2140,来場,らいじょう,내방; 참석
n1_2144,享受,きょうじゅ,향유; 누림
n1_2145,設立,せつりつ,설립
n1_2146,座標,ざひょう,좌표
n1_2152,階級,かいきゅう,계급
n1_2153,侵略,しんりゃく,침략
n1_2154,救い,すくい,구원; 도움
n1_2162,指揮,しき,지휘
n1_2164,区切り,くぎり,구분; 단락
n1_2165,移行,いこう,이행; 전환
n1_2168,出世,しゅっせ,출세
n1_2169,降伏,こうふく,항복
n1_2174,復活,ふっかつ,부활
n1_2182,所持,しょじ,소지
n1_2183,運用,うんよう,운용
n1_2186,冒頭,ぼうとう,서두; 첫머리
n1_2189,審判,しんばん,심판
n1_2190,統治,とうじ,통치
n1_2191,両極,りょうきょく,양극
n1_2198,機構,きこう,기구; 조직
n1_2200,無知,むち,무지
n1_2207,態勢,たいせい,"태세, 준비 상태"
n1_2209,区画,くかく,"구획, 구역"
n1_2214,革新,かくしん,혁신
n1_2216,融通,ゆうずう,융통성
n1_2222,無線,むせん,무선
n1_2225,異見,いけん,"이견, 다른 의견"
n1_2229,調理,ちょうり,"조리, 요리"
n1_2234,生理,せいり,생리(월경)
n1_2237,一連,いちれん,일련(의)
n1_2242,左利き,ひだりきき,왼손잡이
n1_2243,親善,しんぜん,친선
n1_2245,分母,ぶんぼ,분모
n1_2247,ソース,ソース,소스(양념)
n1_2255,鼾,いびき,코골이
n1_2262,助,じょ,"도움, 조력"
